Trading 212 Ticker,Actural Ticker,Instrament Name,Currency,Country,Industry,Sector
WTNRl_EQ,WTNR,WisdomTree New Economy Real Estate,GBX,US,Real Estate,Real Estate
XOM_US_EQ,XOM,Exxon Mobil,USD,US,Oil & Gas,Energy
XSOPl_EQ,XSOP,WisdomTree Emerging Markets ex-State Owned Enterprises UCITS ETF,GBX,US,Emerging Markets,ETF
XUEMl_EQ,XUEM,Xtrackers II J.P. Morgan USD Emerging Markets Bond,USD,US,Emerging Markets,ETF
SAUSl_EQ,SAUS,iShares MSCI Australia UCITS ETF USD,GBX,US,Australia,ETF
TIPGl_EQ,TIPG,Amundi US TIPS Gov Inflt-Linked Bond UCITS ETF,GBX,CH,Government Bonds,Government Bonds
BY6d_EQ,BYD,Build Your Dreams,EUR,CN,BEV,Automotive
R1GRl_EQ,R1GRL,Ishares Russell 1000 Growth Ucits ETF,USD,US,ETF,US
SPXPl_EQ,SPXP.L,Invesco S&P 500 UCITS ETF,GBX,US,ETF,US
UMI_BE_EQ,UMI.BR,Umicore SA,EUR,BE,Base Metals,Metals and Mining
LITGl_EQ,LITG.L,Global X Lithium & Battery Tech UCITS ETF,GBP,IE,Lithium Battery,Technology
AQMS_US_EQ,AQMS,Aqua Metals Inc,USD,US,Base Metals,Metals and Mining
ABML_US_EQ,ABAT,American Battery Technology Company,USD,US,Base Metals,Metals and Mining
R2SCl_EQ,R2SC.L,SPDR Russell 2000 US Small Cap UCITS ETF,GBP,US,ETF,US
XMWXl_EQ,XMWX.L,Xtrackers MSCI World ex USA,GBP,US,Broad,ETF
